,Table 1. Current-Dollar Gross Domestic Product (GDP) by Metropolitan Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Millions of dollars,,,,,,2014 Rank*
146,"Greenville-Anderson-Mauldin, SC",30135,31250.0,32766.0,33411.0,34727.0,36498,72
147,"Gulfport-Biloxi-Pascagoula, MS",15270,15577.0,15850.0,17504.0,16044.0,15841,143
148,"Hagerstown-Martinsburg, MD-WV",7520,7652.0,7977.0,8241.0,8391.0,8643,215
149,"Hammond, LA",3309,3688.0,3800.0,3670.0,3615.0,3721,355
150,"Hanford-Corcoran, CA",4236,4519.0,5238.0,5148.0,5192.0,5275,296
151,"Harrisburg-Carlisle, PA",28782,29141.0,29824.0,30630.0,31565.0,32213,80
152,"Harrisonburg, VA",6570,6773.0,6820.0,7147.0,7342.0,7368,230
153,"Hartford-West Hartford-East Hartford, CT",82690,82589.0,81711.0,81245.0,83623.0,85558,40
154,"Hattiesburg, MS",4831,4973.0,5061.0,5335.0,5432.0,5519,284
155,"Hickory-Lenoir-Morganton, NC",11337,11640.0,11784.0,12106.0,12315.0,12628,171
156,"Hilton Head Island-Bluffton-Beaufort, SC",7507,7420.0,7305.0,7354.0,7634.0,7944,219
157,"Hinesville, GA",3166,3448.0,3680.0,3572.0,3576.0,3615,358
158,"Homosassa Springs, FL",3182,3261.0,3168.0,3085.0,3092.0,2943,372
159,"Hot Springs, AR",2592,2745.0,2959.0,3165.0,3377.0,3420,364
160,"Houma-Thibodaux, LA",10567,11247.0,11265.0,12230.0,13124.0,13198,165
161,"Houston-The Woodlands-Sugar Land, TX",373522,400106.0,441736.0,475043.0,515184.0,525397,4
162,"Huntington-Ashland, WV-KY-OH",12154,12569.0,12913.0,13269.0,14016.0,14376,151
163,"Huntsville, AL",20012,21299.0,21879.0,22157.0,23025.0,23738,104
164,"Idaho Falls, ID",5064,5141.0,5312.0,5423.0,5550.0,5755,274
165,"Indianapolis-Carmel-Anderson, IN",106578,110943.0,113463.0,116839.0,122508.0,125864,26
166,"Iowa City, IA",7199,7471.0,7870.0,8290.0,8639.0,8879,210
167,"Ithaca, NY",4183,4284.0,4339.0,4513.0,4621.0,4677,324
168,"Jackson, MI",4698,5001.0,5143.0,5168.0,5551.0,5808,270
169,"Jackson, MS",24200,25344.0,26421.0,27316.0,28041.0,28620,87
170,"Jackson, TN",4990,5080.0,5327.0,5768.0,5888.0,5978,267
171,"Jacksonville, FL",56396,57490.0,57611.0,59964.0,61983.0,65085,49
172,"Jacksonville, NC",7406,7987.0,8044.0,8073.0,8004.0,7947,218
173,"Janesville-Beloit, WI",4809,4956.0,5207.0,5422.0,5894.0,6009,265
174,"Jefferson City, MO",5977,6187.0,6120.0,6129.0,6509.0,6526,252
175,"Johnson City, TN",5896,5649.0,5846.0,6124.0,6188.0,6322,256
176,"Johnstown, PA",4137,4179.0,4279.0,4221.0,4220.0,4222,336
177,"Jonesboro, AR",4040,4267.0,4369.0,4520.0,4661.0,4717,322
178,"Joplin, MO",5816,6031.0,6154.0,6329.0,6484.0,6548,251
179,"Kahului-Wailuku-Lahaina, HI",6777,6767.0,7076.0,7362.0,7701.0,7742,223
180,"Kalamazoo-Portage, MI",12534,12734.0,13032.0,13247.0,13903.0,14271,153
181,"Kankakee, IL",3253,3282.0,3373.0,3702.0,3784.0,3845,347
182,"Kansas City, MO-KS",103699,107411.0,109276.0,114072.0,117304.0,121638,28
183,"Kennewick-Richland, WA",10346,11207.0,11339.0,10950.0,11301.0,11544,181
184,"Killeen-Temple, TX",15268,15322.0,15709.0,15924.0,15898.0,16221,139
185,"Kingsport-Bristol-Bristol, TN-VA",9839,10196.0,11066.0,11556.0,11512.0,11458,182
186,"Kingston, NY",4995,5153.0,5097.0,5238.0,5336.0,5460,288
187,"Knoxville, TN",32147,32593.0,34069.0,35397.0,36436.0,37487,70
188,"Kokomo, IN",2574,3647.0,3749.0,3908.0,4152.0,4246,334
189,"La Crosse-Onalaska, WI-MN",5745,5902.0,6062.0,6289.0,6585.0,6740,245
190,"Lafayette, LA",23845,25891.0,28181.0,29110.0,28873.0,28193,90
191,"Lafayette-West Lafayette, IN",7784,8388.0,8745.0,8978.0,9312.0,9655,200
192,"Lake Charles, LA",11516,13707.0,14008.0,15158.0,13825.0,14666,147
193,"Lake Havasu City-Kingman, AZ",3615,3656.0,3653.0,3646.0,3733.0,3861,346
194,"Lakeland-Winter Haven, FL",17135,17385.0,17384.0,17254.0,18294.0,18487,122
195,"Lancaster, PA",19644,20773.0,21660.0,22454.0,23180.0,24125,98
196,"Lansing-East Lansing, MI",17882,19304.0,19215.0,19240.0,20331.0,21096,112
197,"Laredo, TX",5873,6199.0,6660.0,7072.0,7478.0,7882,220
198,"Las Cruces, NM",5924,6187.0,6227.0,6216.0,6402.0,6564,250
199,"Las Vegas-Henderson-Paradise, NV",85694,84447.0,85173.0,86924.0,90502.0,94521,38
200,"Lawrence, KS",3627,3598.0,3690.0,3786.0,3894.0,4002,343
201,"Lawton, OK",4396,4731.0,4754.0,4692.0,4848.0,4854,309
202,"Lebanon, PA",3915,4126.0,4226.0,4342.0,4406.0,4449,330
203,"Lewiston, ID-WA",1922,1983.0,1967.0,2016.0,2071.0,2160,379
204,"Lewiston-Auburn, ME",3810,3824.0,3876.0,4027.0,4094.0,4172,338
205,"Lexington-Fayette, KY",22233,23653.0,24392.0,25407.0,26201.0,26693,93
206,"Lima, OH",4810,5029.0,5486.0,5387.0,5673.0,5771,271
207,"Lincoln, NE",13992,14557.0,15082.0,16327.0,17159.0,17626,129
208,"Little Rock-North Little Rock-Conway, AR",33402,33992.0,35643.0,37006.0,38234.0,38584,66
209,"Logan, UT-ID",3461,3683.0,3970.0,3978.0,4107.0,4308,333
210,"Longview, TX",9428,10396.0,10484.0,11142.0,11874.0,12407,172
211,"Longview, WA",3092,3220.0,3203.0,3347.0,3548.0,3766,352
212,"Los Angeles-Long Beach-Anaheim, CA",753732,764958.0,779236.0,806415.0,833801.0,866745,2
213,"Louisville/Jefferson County, KY-IN",55148,58015.0,59929.0,62774.0,64446.0,67329,48
214,"Lubbock, TX",9904,10441.0,10400.0,11419.0,12569.0,13145,166
215,"Lynchburg, VA",8441,8611.0,8539.0,8634.0,8874.0,8944,209
216,"Macon, GA",7860,7935.0,8126.0,8230.0,8631.0,8961,208
217,"Madera, CA",3469,3910.0,4304.0,4462.0,4699.0,4729,321
218,"Madison, WI",35770,37419.0,39180.0,40659.0,43282.0,44071,62
219,"Manchester-Nashua, NH",21590,21567.0,22700.0,23193.0,23786.0,24870,97
220,"Manhattan, KS",2805,2864.0,2976.0,2993.0,3065.0,3134,368
221,"Mankato-North Mankato, MN",3704,3965.0,4215.0,4403.0,4473.0,4570,328
222,"Mansfield, OH",3559,3682.0,3823.0,3895.0,3997.0,4118,340
223,"McAllen-Edinburg-Mission, TX",14186,14911.0,15514.0,16457.0,17454.0,18226,125
224,"Medford, OR",6172,6081.0,6036.0,6307.0,6677.0,7057,240
225,"Memphis, TN-MS-AR",61565,62192.0,63414.0,66637.0,68276.0,69882,47
226,"Merced, CA",6131,6226.0,6920.0,6789.0,7180.0,7225,236
227,"Miami-Fort Lauderdale-West Palm Beach, FL",247672,250813.0,255461.0,270538.0,283962.0,299161,12
228,"Michigan City-La Porte, IN",3382,3576.0,3693.0,3755.0,3779.0,3775,350
229,"Midland, MI",3564,3712.0,3897.0,3790.0,3816.0,4028,342
230,"Midland, TX",13305,15416.0,19737.0,23185.0,26652.0,32573,78
231,"Milwaukee-Waukesha-West Allis, WI",84966,86779.0,89668.0,91862.0,94840.0,97307,36
232,"Minneapolis-St. Paul-Bloomington, MN-WI",192594,200768.0,210569.0,218376.0,227962.0,235733,14
233,"Missoula, MT",4394,4420.0,4496.0,4663.0,4732.0,4891,306
234,"Mobile, AL",16423,16912.0,17371.0,17386.0,17933.0,18284,124
235,"Modesto, CA",15480,15891.0,16552.0,16964.0,17565.0,18094,126
236,"Monroe, LA",6269,6547.0,6432.0,6595.0,6800.0,7110,238
237,"Monroe, MI",3687,3913.0,3984.0,4108.0,4487.0,4611,327
238,"Montgomery, AL",15168,15518.0,15842.0,16042.0,16667.0,16703,136
239,"Morgantown, WV",5984,6416.0,6421.0,6421.0,6729.0,7186,237
240,"Morristown, TN",3106,3314.0,3365.0,3601.0,3659.0,3763,353
241,"Mount Vernon-Anacortes, WA",4954,5374.0,5068.0,5128.0,5273.0,5449,289
